Product code,Product name,Category,Sub category,Season,Cost price (EUR),RRP (EUR),WKs active (to date),Launch date,Product count,Sales U BR,Sales € BR (EUR),Sales U AR,Sales € AR (EUR),ST % (to date),Avg weekly ST % (all time),TROS BR Avg,First 3 WK ROS,GP %,RR %,"RR % (units, all time)",Returns U,ATS U,Stock U
25-2-FA25-5-100,Comfy Hoodie | Black,Tops,Sweater,Fall25.2,14.86,79,16,17/11/2025,1,50,"3,189",34,"2,205",56%,3%,7,30,77.10%,32%,13%,16,463,429
25-2-SP25-9-374,Essential Jersey Dress Short | Khaki,Dresses,Essential,Fall25.2,8.89,89,16,17/11/2025,1,40,"2,983",34,"2,542",15%,1%,4.6,5.7,88.10%,15%,18%,6,666,632
24-2-FA24-4-100,Neoprene Bomber | Black,Outerwear,Bomber,Carry over,24.56,99,20,21/10/2025,1,43,"3,494",34,"2,740",94%,4%,7.9,136.3,70.40%,21%,29%,9,86,52
23-2-FA23-15-410,The Unique - Breathable Jersey | Cloud Rose,Scarves,Decorative,Carry over,12.47,59,40,5/6/2025,1,34,"1,696",34,"1,696",76%,2%,8.8,8,75.00%,0%,8%,0,140,106
24-1-FA24-7-100,Essential Abaya Regular | Black,Outerwear,Abaya,Carry over,14.04,130,26,12/9/2025,1,41,"4,306",33,"3,443",98%,4%,8.7,4,86.50%,20%,23%,8,90,57
23-2-FA23-8-443,Premium Jersey Scarf | Caramel Taupe,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,34,727,33,706,61%,3%,3.4,82.7,76.30%,3%,7%,1,300,267
23-2-FA23-12-162,Essential Jersey Dress Regular | Dark Brown,Dresses,Essential,Fall25.1,12.26,89,11,22/12/2025,1,49,"3,492",33,"2,298",99%,8%,5.9,0.7,82.40%,33%,19%,16,43,10
24-2-SU24-6-460,Liquid Jersey Scarf | Red Copper,Scarves,Liquid,Fall25.2,5.62,25,16,17/11/2025,1,36,755,32,672,47%,3%,3.1,12.3,74.10%,11%,10%,4,431,399
24-2-FA24-25-460,Bamboo Jersey Scarf | Red Copper,Scarves,Bamboo,Fall25.2,7,29,16,17/11/2025,1,35,761,32,737,41%,2%,3.2,14.3,76.30%,9%,9%,3,573,541
25-1-SP25-36-388,Kaftan Dress Short | Moss Gray,Dresses,Occasion,Carry over,16.41,129,40,5/6/2025,1,38,"4,135",31,"3,369",84%,2%,10.1,14,84.90%,18%,38%,7,124,93
24-2-FA24-4-374,Neoprene Bomber | Khaki,Outerwear,Bomber,Fall25.2,21.78,99,16,17/11/2025,1,43,"3,546",30,"2,580",91%,5%,4.2,11,75.50%,30%,22%,13,64,34
24-1-FA24-7-374,Essential Abaya Regular | Khaki,Outerwear,Abaya,Fall25.1,16.63,130,20,21/10/2025,1,36,"3,886",29,"3,128",46%,2%,3.1,13.3,84.60%,19%,18%,7,196,167
23-2-FA23-15-409,The Unique - Breathable Jersey | Powder Blue,Scarves,Decorative,Carry over,12.47,59,40,5/6/2025,1,29,"1,435",29,"1,435",60%,2%,7.2,7.7,74.80%,0%,11%,0,209,180
24-1-FA24-11-374,Essential Dress Short | Khaki,Dresses,Essential,Fall25.1,15.67,90,20,21/10/2025,1,33,"2,463",28,"2,087",51%,3%,2.7,12.7,79.00%,15%,20%,5,127,99
25-2-FA25-5-131,Comfy Hoodie | Chocolate,Tops,Sweater,Fall25.1,14.86,79,20,21/10/2025,1,41,"2,738",28,"1,849",74%,4%,3.7,213.7,79.90%,32%,22%,13,317,289
24-2-FA24-19-437,Bamboo Full Cover Underscarf | Desert Clay,Scarves,Underscarf,Fall25.1,3.14,19,20,21/10/2025,1,32,505,27,425,57%,3%,4.4,19,80.10%,16%,18%,5,170,143
24-1-FA24-7-162,Essential Abaya Regular | Dark Brown,Outerwear,Abaya,Fall25.1,16.63,130,20,21/10/2025,1,41,"4,127",27,"2,922",57%,3%,4.3,58.7,84.10%,34%,22%,14,249,222
24-1-SU24-8-131,Weightless Woven Scarf | Chocolate,Scarves,Modal,Fall25.1,3.76,25,20,21/10/2025,1,27,556,26,535,56%,3%,2.3,30.7,82.40%,4%,7%,1,246,220
24-1-FA24-8-162,Essential Abaya  Short | Dark Brown,Outerwear,Abaya,Fall25.1,16.63,130,20,21/10/2025,1,33,"3,597",26,"2,825",98%,5%,6.9,67.7,84.70%,21%,19%,7,31,5
25-2-FA25-12-374,Modal Jersey Pants | Khaki,Bottoms,Pants,Fall25.1,8.77,75,20,21/10/2025,1,31,"1,917",26,"1,606",46%,2%,4.1,75,85.80%,16%,18%,5,460,434
24-1-FA24-8-374,Essential Abaya  Short | Khaki,Outerwear,Abaya,Fall25.1,16.63,130,20,21/10/2025,1,31,"3,309",25,"2,663",64%,3%,3.4,16,84.40%,19%,19%,6,97,72
25-2-FA25-12-100,Modal Jersey Pants | Black,Bottoms,Pants,Fall25.1,8.77,75,20,21/10/2025,1,31,"1,867",25,"1,480",69%,3%,2.7,75,85.80%,19%,20%,6,197,172
23-2-FA23-7-382,Breathable Jersey Scarf | Lint,Scarves,Breathable,Spring25.2,7.37,39,52,13/3/2025,1,27,878,25,814,100%,2%,6.2,38,77.40%,7%,11%,2,28,3
26-4-GB-15-314,Grape Limited Edition Scarf Gift Box | Multi Color,Scarves,Breathable,(none),36.7,130,1,6/3/2026,1,25,"2,627",25,"2,627",100%,3%,53,26.5,65.10%,0%,0%,0,25,0
25-2-SU25-1-222,The Summer Flock Breathable | Cherry Blossom,Scarves,Decorative,Summer25,8.25,55,38,21/6/2025,1,25,"1,053",25,"1,053",92%,2%,6,21,80.40%,0%,7%,0,61,36
24-1-SU24-8-401,Weightless Woven Scarf | Marble Stucco,Scarves,Modal,Spring25.2,4.62,25,7,21/1/2026,1,24,509,24,509,56%,8%,4.3,0,80.00%,0%,14%,0,407,383
24-2-FA24-25-374,Bamboo Jersey Scarf | Khaki,Scarves,Bamboo,Fall25.2,7,29,7,21/1/2026,1,27,641,24,568,28%,5%,6.1,15.3,74.10%,11%,4%,3,339,315
25-1-FA25-6-439,Shawl Shirt | Dark Cherry,Tops,Shirt,Fall25.2,10.11,79,16,17/11/2025,1,33,"2,184",24,"1,592",71%,4%,2.5,4.3,87.90%,27%,30%,9,114,90
24-1-FA24-10-162,Essential Dress Regular | Dark Brown,Dresses,Essential,Fall25.1,15.67,90,20,21/10/2025,1,30,"2,050",23,"1,527",37%,2%,3,39.7,77.40%,23%,29%,7,351,328
24-2-SP24-6-362,Premium Jersey Khimaar | Light Storm,Hijab/khimaar,Khimaar,Spring25.1,11.86,49,26,12/9/2025,1,27,"1,055",23,892,73%,3%,5.4,-1,69.40%,15%,11%,4,209,186
25-1-FA25-6-162,Shawl Shirt | Dark Brown,Tops,Shirt,Fall25.2,10.11,79,16,17/11/2025,1,36,"2,301",22,"1,357",45%,3%,2.4,0,88.10%,39%,31%,14,230,208
24-1-FA24-10-100,Essential Dress Regular | Black,Dresses,Dress,Carry over,13.12,90,26,12/9/2025,1,30,"2,160",22,"1,565",44%,2%,5.9,-19.3,81.60%,27%,30%,8,"1,443","1,421"
23-2-FA23-13-174,The Unique - Premium Jersey | Matcha,Scarves,Decorative scarves,Carry over,10.8,55,41,28/5/2025,1,22,"1,024",22,"1,024",100%,2%,6.7,11,76.80%,0%,7%,0,22,0
24-1-FA24-11-162,Essential Dress Short | Dark Brown,Dresses,Essential,Fall25.1,15.67,90,20,21/10/2025,1,26,"2,002",21,"1,618",64%,3%,2.6,42,79.70%,19%,23%,5,130,109
24-2-FA24-25-405,Bamboo Jersey Scarf | Lake,Scarves,Bamboo,Carry over,7.58,29,40,5/6/2025,1,24,589,21,518,85%,2%,5.6,14.7,69.20%,13%,8%,3,116,95
24-2-SP24-3-360,Breathable Khimaar | Milky Cacao,Hijab/khimaar,Khimaar,Spring25.1,12.22,59,26,12/9/2025,1,25,"1,221",21,"1,054",97%,4%,5.6,-1,75.70%,16%,15%,4,37,16
24-2-FA24-19-456,Bamboo Full Cover Underscarf | Red Wood,Scarves,Underscarf,Fall25.1,3.14,19,20,21/10/2025,1,22,352,21,337,35%,2%,2,14,81.30%,5%,10%,1,276,255
25-2-FA25-18-100,The Casual Pants | Black,Bottoms,Pants,Fall25.2,11.42,69,11,23/12/2025,1,40,"2,193",20,"1,047",38%,3%,3,53.3,79.30%,50%,26%,20,316,296
25-2-SP25-9-441,Essential Jersey Dress Short | Fig,Dresses,Essential,Fall25.2,8.89,89,16,17/11/2025,1,33,"2,461",19,"1,412",17%,1%,2.4,4,88.70%,42%,27%,14,422,403
24-2-SU24-7-362,Premium Jersey Prayer Skirt | Light Storm,Bottoms,Skirts,Spring25.1,11.36,49,26,12/9/2025,1,24,974,19,795,95%,4%,4.7,-1,72.80%,21%,13%,5,41,22
23-2-FA23-12-441,Essential Jersey Dress Regular | Fig,Dresses,Essential,Fall25.2,12.26,89,11,22/12/2025,1,27,"1,584",19,"1,215",16%,1%,2.7,2,82.80%,30%,17%,8,608,589
Shopify Pop-up::gift-card,MERRACHI ANTWERPEN GIFTCARD,(none),(none),(none),0,0,0,Not yet launched,1,19,"1,270",19,"1,270",100%,0%,10,0.3,100.00%,0%,0%,0,19,0
25-2-FA25-3-100,Comfy Sweater Dress | Black,Dresses,Casual,Fall25.2,14.07,95,16,17/11/2025,1,27,"2,124",19,"1,495",17%,1%,2.4,8.7,83.10%,30%,23%,8,733,714
23-2-FA23-7-404,Breathable Jersey Scarf | Beige Rose,Scarves,Breathable,Carry over,7.64,39,40,5/6/2025,1,19,592,19,592,51%,1%,5,6.3,75.50%,0%,9%,0,648,629
25-1-FA25-8-162,Satin Pleated Pants | Dark Brown,Bottoms,Pants,Fall25.2,10.55,79,16,17/11/2025,1,27,"1,822",19,"1,299",71%,4%,2.4,-3,88.60%,30%,30%,8,82,63
23-2-FA23-7-377,Breathable Jersey Scarf | Brown Rice,Scarves,Breathable,Spring25.2,7.37,39,40,5/6/2025,1,24,789,18,642,97%,2%,6.2,8.3,79.30%,25%,11%,6,59,41
25-1-FA25-1-162,Tailored V-Neck Dress | Dark Brown,Dresses,Casual,Fall25.1,15.39,89,20,21/10/2025,1,27,"2,015",18,"1,347",67%,3%,2.3,74.7,79.40%,33%,42%,9,147,129
24-2-FA24-21-456,Bamboo Tied Underscarf | Red Wood,Scarves,Underscarf,Fall25.1,2.6,19,20,21/10/2025,1,22,349,18,280,31%,2%,1.7,5.3,84.20%,18%,10%,4,226,208
25-1-FA25-10-162,Blazer Dress | Dark Brown,Dresses,Casual,Fall25.1,15.82,109,20,21/10/2025,1,25,"2,282",18,"1,651",76%,4%,4.8,49.7,82.80%,28%,41%,7,81,63
24-1-SP24-18-367,Kaftan Dress Regular | Warm Butter,Dresses,Occasion,Carry over,17.49,129,40,5/6/2025,1,20,"2,169",18,"2,008",93%,2%,4.2,26.7,84.30%,10%,23%,2,70,52
24-2-FA24-21-437,Bamboo Tied Underscarf | Desert Clay,Scarves,Underscarf,Fall25.1,2.6,19,20,21/10/2025,1,23,385,17,287,97%,5%,2.4,27,88.20%,26%,11%,6,24,7
25-2-FA25-6-100,Comfy Pants | Black,Bottoms,Pants,Fall25.2,10.2,74,16,17/11/2025,1,24,"1,461",17,"1,093",39%,2%,1.9,14,85.10%,29%,15%,7,442,425
23-2-FA23-7-387,Breathable Jersey Scarf | Aqua Gray,Scarves,Breathable,Spring25.2,7.37,39,52,13/3/2025,1,18,594,17,577,66%,1%,4.1,17.3,78.30%,6%,8%,1,360,343
23-2-FA23-13-306,The Unique - Premium Jersey | White Cream,Scarves,Decorative scarves,Carry over,10.8,55,92,5/6/2024,1,17,776,17,776,77%,1%,5.4,18.7,76.30%,0%,6%,0,231,214
24-1-FA24-11-100,Essential Dress Short | Black,Dresses,Dress,Carry over,13.12,90,26,12/9/2025,1,21,"1,566",17,"1,268",44%,2%,4,-6.7,82.40%,19%,23%,4,"1,456","1,439"
24-2-FA24-19-374,Bamboo Full Cover Underscarf | Khaki,Scarves,Underscarf,Fall25.1,3.14,19,20,21/10/2025,1,19,312,17,280,58%,3%,1.6,15.7,82.00%,11%,15%,2,119,102
25-3-FA25-10-100,Ribbed Knit Dress | Black,Dresses,Casual,Fall25.1,11.87,129,20,21/10/2025,1,19,"1,931",16,"1,620",64%,3%,1.8,66.7,88.30%,16%,32%,3,162,146
26-4-GB-16-314,Essential Scarf Gift Box | Multi Color,Scarves,Breathable,(none),35.43,130,1,6/3/2026,1,16,"1,745",16,"1,745",100%,2%,33,16.5,67.50%,0%,0%,0,16,0
25-4-FA25-11-377,The Mini Tote | Brown Rice,Accessories,Bags,Fall25.1,13.4,65,20,21/10/2025,1,16,870,16,870,21%,1%,1.3,7.3,78.40%,0%,14%,0,250,234
24-2-SP24-3-100,Breathable Khimaar | Black,Hijab/khimaar,Khimaar,Carry over,12.59,59,26,12/9/2025,1,20,992,16,796,47%,2%,4.4,-2.7,74.70%,20%,20%,4,486,470
24-1-SP24-18-100,Kaftan Dress Regular | Black,Dresses,(none),Carry over,17.46,129,52,12/3/2025,1,19,"2,033",16,"1,876",100%,2%,4.1,452.3,85.10%,16%,31%,3,20,4
24-2-SP24-3-127,Breathable Khimaar | Deep Brown,Hijab/khimaar,Khimaar,Spring25.1,12.22,59,26,12/9/2025,1,17,783,16,734,35%,1%,3.5,2,73.40%,6%,20%,1,333,317
25-1-FA25-4-162,Tailored Oversized Blazer | Dark Brown,Outerwear,Blazer,Fall25.1,15.39,109,20,21/10/2025,1,25,"2,277",16,"1,461",90%,4%,3.2,113,84.20%,36%,38%,9,62,46
25-1-FA25-5-439,Shawl Dress | Dark Cherry,Dresses,Occasion,Fall25.2,13.63,119,16,17/11/2025,1,24,"2,366",16,"1,578",54%,3%,2.3,7,88.80%,33%,31%,8,173,157
24-2-SS24-2-169,Premium Jersey Hijab | Creme Brulee,Hijab/khimaar,(none),Spring24.2,2.58,25,0,Not yet launched,1,15,311,15,311,64%,0%,3.5,7.7,87.50%,0%,18%,0,356,341
24-2-SP24-3-355,Breathable Khimaar | Desert Brown,Hijab/khimaar,Khimaar,Spring25.1,12.22,59,26,12/9/2025,1,20,989,15,744,92%,3%,4.4,-0.7,75.40%,25%,18%,5,55,40
25-2-FA25-11-437,Modal Jersey Top | Desert Clay,Tops,Ls top,Fall25.1,9.76,59,20,21/10/2025,1,31,"1,424",15,827,42%,2%,2,63,82.30%,52%,28%,16,408,393
25-2-FA25-6-131,Comfy Pants | Chocolate,Bottoms,Pants,Fall25.1,10.2,74,20,21/10/2025,1,21,"1,324",15,944,49%,2%,1.8,110,86.00%,29%,23%,6,504,489
23-2-FA23-12-388,Essential Jersey Dress Regular | Moss Gray,Dresses,Essential,Carry over,13.48,89,11,22/12/2025,1,20,"1,479",15,"1,144",96%,8%,4.3,-6.3,82.30%,25%,20%,5,40,25
25-1-FA25-4-100,Tailored Oversized Blazer | Black,Outerwear,Blazer,Fall25.1,15.39,109,20,21/10/2025,1,20,"1,860",14,"1,275",55%,3%,2.2,52.3,84.30%,30%,29%,6,200,186
25-1-SP25-15-378,Plisse Sleeve Dress | Grey Green,Dresses,Occasion,Spring25.2,0,119,52,13/3/2025,1,17,"1,680",14,"1,383",96%,2%,4.7,92.3,100.00%,18%,30%,3,52,38
23-2-SU25-63-414,The Moroccan Premium | Iced Olive,Scarves,Decorative,Summer25,7.22,55,40,5/6/2025,1,16,729,14,637,64%,2%,4.4,6,84.10%,13%,9%,2,142,128
25-2-FA25-12-437,Modal Jersey Pants | Desert Clay,Bottoms,Pants,Fall25.1,8.77,75,20,21/10/2025,1,19,"1,189",14,865,50%,2%,1.7,36.7,85.80%,26%,24%,5,184,170
24-4-FA24-3-100,Oval Tote Bag | Black,Accessories,Tote bags,Carry over,5.42,39,9,8/1/2026,1,17,549,14,452,100%,10%,11.8,45.7,83.20%,18%,11%,3,17,3
23-2-FA23-10-258,The Pearl Monogram - Premium Jersey | Cashmere,Scarves,Decorative scarves,Carry over,9.23,55,94,23/5/2024,1,14,664,14,664,99%,1%,2.7,28,80.50%,0%,8%,0,28,14
24-1-SU24-8-448,Weightless Woven Scarf | Wood Brown,Scarves,Modal,Fall25.1,3.76,25,20,21/10/2025,1,15,316,14,295,26%,1%,1.3,21.3,83.40%,7%,11%,1,389,375
23-2-FA23-10-265,The Pearl Monogram - Premium Jersey | Misty Blue,Scarves,Decorative scarves,Carry over,9.18,55,94,23/5/2024,1,14,651,13,605,72%,1%,2.9,5,80.30%,7%,11%,1,114,101
25-2-FA25-3-131,Comfy Sweater Dress | Chocolate,Dresses,Casual,Fall25.1,14.07,95,20,21/10/2025,1,27,"2,118",13,997,33%,2%,2.3,106.7,83.10%,52%,38%,14,756,743
24-3-FA24-1-100,The Brushed Scarf | Black,Accessories,Scarf,Fall24,8.7,59,20,21/10/2025,1,14,683,13,634,69%,3%,1.3,45.3,82.20%,7%,9%,1,378,365
25-1-FA25-8-439,Satin Pleated Pants | Dark Cherry,Bottoms,Pants,Fall25.2,10.55,79,16,17/11/2025,1,15,"1,011",13,881,69%,4%,1.1,0.7,89.20%,13%,31%,2,62,49
25-1-FA25-15-465,Weightless Woven Scarf | Chocolate Gradient,Scarves,Modal,Fall25.1,6.59,45,20,21/10/2025,1,12,450,12,450,20%,1%,1,17.7,82.40%,0%,12%,0,431,419
24-1-FA24-8-100,Essential Abaya  Short | Black,Outerwear,Abaya,Carry over,14.04,130,26,12/9/2025,1,17,"1,829",12,"1,290",92%,3%,4.5,2,86.90%,29%,17%,5,209,197
25-1-FA25-7-439,Satin Skirt | Dark Cherry,Bottoms,Skirts,Fall25.2,9.67,79,16,17/11/2025,1,18,"1,135",12,738,65%,4%,2.1,4.3,84.30%,33%,27%,6,87,75
Shopify AMS::gift-card,Merrachi Giftcard - Amsterdam Store,(none),(none),(none),0,0,0,Not yet launched,1,12,"1,010",12,"1,010",100%,0%,2.5,4.7,100.00%,0%,1%,0,12,0
24-1-SU24-8-437,Weightless Woven Scarf | Desert Clay,Scarves,Modal,Fall25.2,3.76,25,16,17/11/2025,1,12,249,12,249,12%,1%,1,1,81.90%,0%,10%,0,481,469
23-2-FA23-12-305,Essential Jersey Dress Regular | Sunset Yellow,Dresses,Essential,Carry over,13.48,89,11,22/12/2025,1,12,897,11,823,98%,8%,2.4,-1,82.00%,8%,31%,1,21,10
24-1-FA24-10-131,Essential Dress Regular | Chocolate,Dresses,Essential,Fall25.1,15.67,90,20,21/10/2025,1,12,878,11,804,13%,1%,0.8,17,78.60%,8%,28%,1,550,539
24-2-SP24-6-306,Premium Jersey Khimaar | White Cream,Hijab/khimaar,Khimaar,Carry over,14.02,49,92,5/6/2024,1,12,508,11,468,80%,1%,2.5,5.7,67.00%,8%,14%,1,85,74
24-1-FA24-10-374,Essential Dress Regular | Khaki,Dresses,Essential,Fall25.1,15.67,90,20,21/10/2025,1,14,"1,044",11,820,25%,1%,1.4,8.7,79.00%,21%,20%,3,251,240
24-1-FA24-8-131,Essential Abaya  Short | Chocolate,Outerwear,Abaya,Fall25.1,16.63,130,20,21/10/2025,1,12,"1,294",11,"1,186",20%,1%,1.1,15.7,84.60%,8%,24%,1,349,338
23-2-FA23-7-265,Breathable Jersey Scarf | Misty Blue,Scarves,Breathable,Carry over,7.64,39,40,5/6/2025,1,18,531,11,348,100%,2%,5,10,75.80%,39%,15%,7,11,0
24-1-SU24-8-388,Weightless Woven Scarf | Moss Gray,Scarves,Modal,Carry over,4.15,25,40,5/6/2025,1,14,296,11,233,91%,2%,4.8,15.7,80.40%,21%,12%,3,58,47
25-1-SP25-15-355,Plisse Sleeve Dress | Desert Brown,Dresses,Occasion,Spring25.2,0,119,52,13/3/2025,1,17,"1,666",11,"1,119",99%,2%,4,173.3,100.00%,35%,44%,6,21,10
25-1-SU25-5-388,Woven Abaya Regular | Moss Gray,Outerwear,Abaya,Summer25,12.91,98,40,5/6/2025,1,16,"1,341",11,"1,016",82%,2%,3.2,13.3,86.00%,31%,20%,5,139,128
25-1-FA25-19-437,Wool Blend Abaya | Desert Clay,Outerwear,Coat,Fall25.1,21.98,139,20,21/10/2025,1,10,"1,072",10,"1,072",16%,1%,0.6,11.3,81.60%,0%,29%,0,363,353
23-2-FA23-10-277,The Pearl Monogram - Premium Jersey | Moon Grey,Scarves,Decorative scarves,Carry over,9.49,55,92,4/6/2024,1,12,511,10,418,92%,1%,3.9,29.3,77.30%,17%,11%,2,94,84
24-1-SU24-8-430,Weightless Woven Scarf | Soft Khaki Shibori Print,Scarves,Modal,Carry over,4.15,25,40,5/6/2025,1,11,234,10,222,34%,1%,2.9,3.7,81.30%,9%,7%,1,346,336
25-1-SP25-36-367,Kaftan Dress Short | Warm Butter,Dresses,Occasion,Carry over,16.41,129,40,5/6/2025,1,11,"1,178",10,"1,070",69%,2%,2.1,6,84.70%,9%,30%,1,131,121
25-3-FA25-1-100,Knitted Collar Cardigan | Black,Tops,Cardigan,Fall25.1,14.95,89,20,21/10/2025,1,16,"1,179",10,736,92%,4%,2.9,81.3,79.70%,38%,28%,6,36,26
25-2-FA25-14-437,Modal Jersey Dress | Desert Clay,Dresses,Casual,Fall25.1,12.57,79,20,21/10/2025,1,14,893,10,630,12%,1%,1.5,21.7,80.10%,29%,27%,4,768,758
25-1-SU25-5-143,Woven Abaya Regular | Taupe,Outerwear,Abaya,Summer25,12.91,98,40,5/6/2025,1,12,975,9,730,99%,2%,3,33,84.10%,25%,28%,3,16,7
25-1-SU25-37-388,Woven Abaya Short | Moss Gray,Outerwear,Abaya,Summer25,12.91,98,40,5/6/2025,1,10,812,9,731,82%,2%,2.6,18.7,84.10%,10%,22%,1,78,69
25-2-SU25-2-100,Summer Jersey Kaftan Dress | Black,Dresses,Casual,Summer25,13.1,89,40,5/6/2025,1,9,371,9,371,70%,2%,1.8,5.7,68.20%,0%,31%,0,247,238
25-2-SP25-9-388,Essential Jersey Dress Short | Moss Gray,Dresses,Essential,Carry over,10.11,89,40,5/6/2025,1,11,826,9,676,95%,2%,2,10.7,86.50%,18%,24%,2,27,18
23-2-FA23-7-260,Breathable Jersey Scarf | Frost,Scarves,Breathable,Carry over,7.7,39,94,23/5/2024,1,9,302,9,302,87%,1%,2.5,16,77.00%,0%,9%,0,136,127
23-2-FA23-8-162,Premium Jersey Scarf | Dark Brown,Scarves,Premium,Fall25.1,5.65,25,20,21/10/2025,1,10,237,9,216,94%,5%,2.9,4,94.80%,10%,4%,1,166,157
24-2-SS24-2-177,Premium Jersey Hijab | Dark Rose,Hijab/khimaar,(none),Spring24.2,2.58,25,0,Not yet launched,1,12,249,9,197,32%,0%,2.7,11,88.20%,25%,17%,3,706,697
25-1-SP25-48-100,Woven Satin Khimaar | Black,Hijab/khimaar,Khimaar,Spring25.2,7.9,49,52,12/3/2025,1,10,426,9,385,64%,1%,2.3,38.7,81.50%,10%,33%,1,223,214
24-2-SP24-3-349,Breathable Khimaar | Aubergine,Hijab/khimaar,Khimaar,Spring25.1,12.22,59,26,12/9/2025,1,11,552,9,454,100%,4%,3.6,-2,75.80%,18%,15%,2,9,0
24-1-SP24-18-388,Kaftan Dress Regular | Moss Gray,Dresses,Occasion,Carry over,17.49,129,40,5/6/2025,1,16,"1,742",9,989,100%,2%,3.7,32.3,84.10%,44%,26%,7,9,0
24-1-FA24-7-131,Essential Abaya Regular | Chocolate,Outerwear,Abaya,Fall25.1,16.63,130,20,21/10/2025,1,10,"1,076",9,969,18%,1%,0.8,21.3,84.60%,10%,24%,1,521,512
23-2-FA23-5-439,Essential Legging | Dark Cherry,Bottoms,Leggings,Fall25.1,10.85,45,8,13/1/2026,1,9,350,9,350,8%,1%,0.6,2,78.30%,0%,12%,0,724,715
25-1-FA25-12-162,Straight Shirt | Dark Brown,Tops,Shirt,Fall25.1,14.07,89,20,21/10/2025,1,15,"1,107",9,676,56%,3%,1.2,48,81.30%,40%,33%,6,167,158
23-2-FA23-7-390,Breathable Jersey Scarf | Watercress,Scarves,Breathable,Spring25.2,7.37,39,52,13/3/2025,1,12,386,9,295,100%,2%,2.7,25.7,77.50%,25%,11%,3,13,4
25-1-SU25-6-388,Sleeveless Woven Dress Regular | Moss Gray,Dresses,Casual,Summer25,9.26,69,40,5/6/2025,1,12,686,9,571,78%,2%,2.2,11.7,85.40%,25%,26%,3,177,168
25-1-FA25-7-162,Satin Skirt | Dark Brown,Bottoms,Skirts,Fall25.2,9.67,79,16,17/11/2025,1,15,836,9,442,33%,2%,2.1,4.3,80.30%,40%,25%,6,253,244
23-2-FA23-10-294,The Pearl Monogram - Premium Jersey | Soft Taupe,Scarves,Decorative scarves,Carry over,9.49,55,92,4/6/2024,1,9,431,9,431,96%,1%,2.3,43.7,80.20%,0%,10%,0,69,60
23-2-FA23-13-349,The Unique - Premium Jersey | Aubergine,Scarves,Decorative,Fall25.2,9.5,55,16,17/11/2025,1,9,480,9,480,100%,6%,1.3,59.7,98.00%,0%,8%,0,8,-1
24-2-SP24-6-359,Premium Jersey Khimaar | Iron,Hijab/khimaar,Khimaar,Spring25.1,11.86,49,26,12/9/2025,1,11,439,8,317,100%,4%,2.6,-5.3,70.10%,27%,14%,3,8,0
25-1-SP25-28-366,Double Sleeve Dress | Dark Pearl,Dresses,Casual,Spring25.2,16.08,129,52,13/3/2025,1,12,"1,297",8,871,90%,2%,3.7,111,85.20%,33%,44%,4,80,72
25-1-SU25-38-388,The Wave Breathable | Moss Gray,Scarves,Decorative,Summer25,8.73,55,40,5/6/2025,1,8,368,8,368,100%,2%,1.4,6.7,81.00%,0%,12%,0,8,0
23-2-SU25-64-377,The Wave Premium | Brown Rice,Scarves,Decorative,Summer25,7.22,55,40,5/6/2025,1,8,355,8,355,63%,2%,2.7,5.3,83.70%,0%,9%,0,135,127
24-2-FA24-19-382,Bamboo Full Cover Underscarf | Lint,Scarves,Underscarf,Spring25.2,3.28,19,52,13/3/2025,1,8,126,8,126,83%,2%,1.6,2.3,79.20%,0%,14%,0,32,24
24-2-SS24-2-117,Premium Jersey Hijab | Iron Grey,Hijab/khimaar,(none),Spring24.2,2.58,25,0,Not yet launched,1,10,210,8,175,94%,0%,1.8,16.7,88.20%,20%,15%,2,72,64
24-1-FA24-11-324,Essential Dress Short | Mink,Dresses,Dress,(none),13.12,90,73,17/10/2024,1,7,531,7,531,99%,1%,1.3,29.3,82.70%,0%,32%,0,18,11
24-2-SP24-7-387,Premium Jersey Hijab | Aqua Gray,Hijab/khimaar,Premium,Carry over,5.43,25,52,13/3/2025,1,7,145,7,145,90%,2%,1.2,5.3,73.80%,0%,19%,0,34,27
23-2-FA23-7-259,Breathable Jersey Scarf | Clear Sky,Scarves,Breathable,Carry over,7.7,39,94,23/5/2024,1,8,227,7,194,48%,1%,1.9,6,72.20%,13%,10%,1,287,280
25-1-FA25-8-374,Satin Pleated Pants | Khaki,Bottoms,Pants,Fall25.2,10.55,79,16,17/11/2025,1,7,467,7,467,46%,3%,0.8,1.3,84.20%,0%,21%,0,59,52
25-2-FA25-6-438,Comfy Pants | Cloud White,Bottoms,Pants,Fall25.1,10.2,74,20,21/10/2025,1,15,916,7,486,54%,3%,1.2,58.7,85.30%,53%,25%,8,227,220
25-1-SP25-48-355,Woven Satin Khimaar | Desert Brown,Hijab/khimaar,Khimaar,Spring25.2,7.9,49,52,13/3/2025,1,7,292,7,292,90%,2%,1.4,48.3,81.10%,0%,39%,0,34,27
24-2-FA24-21-162,Bamboo Tied Underscarf | Dark Brown,Scarves,Underscarf,Fall25.1,2.6,19,20,21/10/2025,1,8,100,7,84,100%,5%,0.7,29.7,87.60%,13%,5%,1,5,-2
25-4-FA25-13-131,Maxi Oval Bag | Chocolate,Accessories,Bags,Fall25.2,11.87,79,16,17/11/2025,1,8,524,7,459,33%,2%,0.5,3,81.90%,13%,20%,1,200,193
